UserID,DisplayID,Rating,StartTime,EndTime
U251628,Specchio_MQ,4,1629901789239,1629901797181
U251628,Specchio_LQ,3,1629901815279,1629901821612
U251628,Specchio_HQ,5,1629901839698,1629901841827
U251628,Notredame_10,4,1629901859927,1629901861917
U251628,Drago_10,3,1629901880017,1629901883023
U251628,Pagoda_05,3,1629901901123,1629901903768
U251628,Drago_01,2,1629901921870,1629901924373
U251628,Pagoda_50,5,1629901942473,1629901945284
U251628,Notredame_20,5,1629901963383,1629901966139
U251628,Pagoda_20,4,1629901984239,1629901986647
U251628,Drago_05,4,1629902004747,1629902007377
U251628,Gufo_20,3,1629902025477,1629902027871
U251628,Gufo_01,4,1629902045971,1629902050968
U251628,Statua_10,2,1629902069084,1629902074218
U251628,Statua_05,3,1629902092318,1629902095506
U251628,Gufo_10,4,1629902113606,1629902116292
U251628,Notredame_50,2,1629902134419,1629902136869
U251628,Statua_01,2,1629902154969,1629902156444
