UserID,DisplayID,Rating,StartTime,EndTime
U081713,Specchio_HQ,3,1628435694651,1628435702760
U081713,Specchio_MQ,4,1628435720857,1628435729641
U081713,Specchio_LQ,4,1628435747744,1628435749328
U081713,Gufo_01,3,1628435767427,1628435781711
U081713,Pagoda_50,4,1628435799810,1628435802845
U081713,Pagoda_05,4,1628435820945,1628435827515
U081713,Notredame_10,3,1628435845615,1628435848218
U081713,Pagoda_20,3,1628435866317,1628435868280
U081713,Statua_10,4,1628435886365,1628435893340
U081713,Notredame_20,4,1628435911440,1628435919208
U081713,Gufo_20,4,1628435937307,1628435939632
U081713,Gufo_10,4,1628435957732,1628435960292
U081713,Drago_05,4,1628435978396,1628435985770
U081713,Statua_05,4,1628436003873,1628436005303
U081713,Drago_10,4,1628436023403,1628436025407
U081713,Drago_01,4,1628436043507,1628436045719
U081713,Statua_01,4,1628436063823,1628436067480
U081713,Notredame_50,3,1628436085593,1628436086944
