UserID,DisplayID,Rating,StartTime,EndTime
U201616,Specchio_MQ,4,1629469051751,1629469057757
U201616,Specchio_HQ,4,1629469075861,1629469080303
U201616,Specchio_LQ,4,1629469098410,1629469101547
U201616,Statua_01,3,1629469119653,1629469152586
U201616,Pagoda_05,2,1629469170693,1629469179342
U201616,Statua_05,2,1629469197448,1629469267091
U201616,Pagoda_20,3,1629469285177,1629469308413
U201616,Drago_05,3,1629469326512,1629469330173
U201616,Notredame_50,1,1629469348286,1629469351126
U201616,Gufo_20,2,1629469369226,1629469372678
U201616,Drago_01,3,1629469390778,1629469394578
U201616,Pagoda_50,4,1629469412680,1629469414333
U201616,Notredame_10,4,1629469432433,1629469435314
U201616,Drago_10,3,1629469453417,1629469454875
U201616,Statua_10,2,1629469472988,1629469475703
U201616,Notredame_20,3,1629469493803,1629469499371
U201616,Gufo_10,2,1629469517457,1629469519196
U201616,Gufo_01,4,1629469537296,1629469539050
