UserID,DisplayID,Rating,StartTime,EndTime
U241923,Specchio_MQ,4,1629825903889,1629825909465
U241923,Specchio_HQ,4,1629825927569,1629825929790
U241923,Specchio_LQ,2,1629825947896,1629825951075
U241923,Gufo_10,4,1629825969181,1629825974429
U241923,Pagoda_05,3,1629825992535,1629825995103
U241923,Gufo_20,4,1629826013209,1629826018637
U241923,Notredame_20,5,1629826036743,1629826040506
U241923,Statua_10,3,1629826058639,1629826060707
U241923,Drago_01,3,1629826078814,1629826080701
U241923,Pagoda_50,4,1629826098808,1629826101098
U241923,Statua_01,4,1629826119204,1629826120745
U241923,Gufo_01,4,1629826138851,1629826140891
U241923,Drago_05,3,1629826158997,1629826163467
U241923,Pagoda_20,4,1629826181573,1629826183683
U241923,Notredame_50,2,1629826201803,1629826203260
U241923,Drago_10,4,1629826221367,1629826227239
U241923,Statua_05,4,1629826245345,1629826247802
U241923,Notredame_10,2,1629826265911,1629826267754
