UserID,DisplayID,Rating,StartTime,EndTime
U162108,Specchio_LQ,4,1629141017178,1629141030273
U162108,Specchio_HQ,4,1629141048357,1629141053103
U162108,Specchio_MQ,5,1629141071203,1629141072386
U162108,Pagoda_50,4,1629141090485,1629141096040
U162108,Pagoda_05,1,1629141114125,1629141120237
U162108,Notredame_20,4,1629141138336,1629141143306
U162108,Gufo_20,5,1629141161406,1629141163438
U162108,Drago_10,5,1629141181537,1629141185588
U162108,Gufo_10,3,1629141203688,1629141209117
U162108,Pagoda_20,4,1629141227216,1629141231601
U162108,Notredame_10,2,1629141249701,1629141251594
U162108,Drago_01,3,1629141269693,1629141272171
U162108,Notredame_50,2,1629141290298,1629141300698
U162108,Statua_10,3,1629141318783,1629141320731
U162108,Gufo_01,3,1629141338832,1629141340683
U162108,Statua_05,4,1629141358782,1629141362582
U162108,Drago_05,5,1629141380683,1629141382241
U162108,Statua_01,2,1629141400341,1629141402651
